epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8916,1.56849,6.77381,0.0339,0.2693,0.28571,0.26622,0.08295,1.66098,7.52468,0.05052,0.00038,0.00038,0.00038
2,47.6252,1.50054,3.59875,0.03224,0.07863,0.06122,0.02502,0.00541,2.55579,4.21163,0.07583,0.000760695,0.000760695,0.000760695
3,61.5194,1.71199,2.80944,0.03759,0.01761,0.02041,0.00065,0.00013,4.34301,nan,0.15345,0.00112159,0.00112159,0.00112159
4,75.3635,1.70983,2.58553,0.03684,0.02347,0.10204,0.00729,0.00165,nan,nan,nan,0.00146269,0.00146269,0.00146269
5,89.4745,1.82378,2.53515,0.04024,0,0,0,0,nan,nan,nan,0.00178398,0.00178398,0.00178398
6,103.841,1.76099,2.40248,0.0389,0.01478,0.18367,0.0047,0.00094,nan,nan,nan,0.0017525,0.0017525,0.0017525
7,118.555,1.74548,2.3197,0.03805,0.01068,0.4898,0.01344,0.00268,3.35663,3.64689,0.10749,0.001703,0.001703,0.001703
8,133.712,1.78883,2.23972,0.0394,0.31468,0.41236,0.21093,0.05432,2.19121,2.90621,0.06874,0.0016535,0.0016535,0.0016535
9,148.808,1.84649,2.26308,0.04126,0.37188,0.46939,0.26688,0.06956,2.69229,2.83164,0.09204,0.001604,0.001604,0.001604
10,163.532,1.78171,2.25184,0.03909,0.47189,0.38776,0.37555,0.0921,2.93498,1.95582,0.10725,0.0015545,0.0015545,0.0015545
11,178.305,1.73862,2.2322,0.03761,0.29146,0.44898,0.24091,0.07567,2.11279,2.77726,0.07054,0.001505,0.001505,0.001505
12,192.874,1.7765,2.17778,0.03963,0.35186,0.46939,0.36488,0.13794,1.8762,1.73777,0.05798,0.0014555,0.0014555,0.0014555
13,207.85,1.65378,2.1134,0.03708,0.46172,0.47271,0.47822,0.16182,1.71966,1.89793,0.05304,0.001406,0.001406,0.001406
14,222.933,1.61303,2.10324,0.03497,0.47765,0.4479,0.40711,0.13566,1.61325,2.31757,0.0505,0.0013565,0.0013565,0.0013565
15,237.749,1.59178,2.07848,0.03377,0.47427,0.36735,0.44175,0.14794,1.81243,1.78232,0.05573,0.001307,0.001307,0.001307
16,252.542,1.60287,2.07211,0.03503,0.52508,0.4898,0.51773,0.15047,1.7489,1.64583,0.05567,0.0012575,0.0012575,0.0012575
17,267.249,1.64322,2.10386,0.03665,0.42393,0.55573,0.46151,0.1518,1.97212,1.73382,0.05803,0.001208,0.001208,0.001208
18,281.877,1.54015,2.01475,0.03306,0.42488,0.61224,0.45089,0.14294,1.70923,2.02476,0.05382,0.0011585,0.0011585,0.0011585
19,296.571,1.66076,2.01581,0.03681,0.51051,0.5102,0.53785,0.16955,1.986,1.58492,0.06485,0.001109,0.001109,0.001109
20,311.445,1.5969,1.96298,0.03535,0.66554,0.528,0.51773,0.20021,1.80338,1.62123,0.05791,0.0010595,0.0010595,0.0010595
21,326.392,1.60424,1.92189,0.03433,0.52803,0.61224,0.46878,0.18838,1.88068,1.75707,0.05789,0.00101,0.00101,0.00101
22,341.175,1.63507,1.96376,0.03527,0.60041,0.59184,0.54354,0.18484,1.97906,1.72431,0.06069,0.0009605,0.0009605,0.0009605
23,355.867,1.55885,1.9043,0.03405,0.48271,0.5102,0.49523,0.18226,1.80474,1.75296,0.05616,0.000911,0.000911,0.000911
24,370.613,1.55023,1.90511,0.03374,0.49479,0.47979,0.52784,0.18117,1.60542,1.61387,0.04919,0.0008615,0.0008615,0.0008615
25,385.339,1.55731,1.93353,0.03459,0.56431,0.59184,0.53593,0.18485,1.89494,1.68412,0.06016,0.000812,0.000812,0.000812
26,400.045,1.50705,1.88435,0.03416,0.44498,0.65306,0.52179,0.18833,1.4854,1.6136,0.04426,0.0007625,0.0007625,0.0007625
27,414.787,1.51325,1.849,0.03233,0.44978,0.67347,0.47965,0.19926,1.34248,1.52282,0.03932,0.000713,0.000713,0.000713
28,429.495,1.53908,1.95199,0.03415,0.53083,0.61224,0.52237,0.19213,1.51319,1.46773,0.04589,0.0006635,0.0006635,0.0006635
29,444.351,1.4666,1.86949,0.03079,0.54935,0.5102,0.46699,0.19596,1.3545,1.55277,0.03953,0.000614,0.000614,0.000614
30,459.06,1.48892,1.8013,0.03379,0.5849,0.60398,0.55674,0.19914,1.81265,1.56263,0.0578,0.0005645,0.0005645,0.0005645
31,474.429,1.80909,2.04562,0.05671,0.49466,0.55102,0.49365,0.16424,1.8892,1.58913,0.0612,0.000515,0.000515,0.000515
32,489.158,1.75436,1.85075,0.05314,0.60976,0.44898,0.53907,0.17186,2.0751,1.59588,0.06871,0.0004655,0.0004655,0.0004655
33,503.824,1.68787,1.72653,0.05222,0.53721,0.63265,0.53578,0.21497,1.38651,1.59363,0.0401,0.000416,0.000416,0.000416
34,518.671,1.63213,1.74226,0.04699,0.51117,0.5102,0.48423,0.20175,1.69937,1.58567,0.05135,0.0003665,0.0003665,0.0003665
35,533.283,1.52971,1.70966,0.04498,0.60921,0.57143,0.54869,0.22383,1.49414,1.4774,0.04421,0.000317,0.000317,0.000317
36,548.093,1.56524,1.70858,0.04809,0.56312,0.57143,0.54208,0.22028,1.3638,1.47752,0.03926,0.0002675,0.0002675,0.0002675
37,562.716,1.58472,1.68791,0.04648,0.58879,0.59184,0.55831,0.21128,1.59919,1.52722,0.04663,0.000218,0.000218,0.000218
38,577.404,1.5323,1.63269,0.04622,0.61561,0.53061,0.55504,0.21875,1.6322,1.50612,0.04779,0.0001685,0.0001685,0.0001685
39,592.111,1.51883,1.66308,0.04574,0.60045,0.53061,0.56829,0.23039,1.47343,1.45885,0.04275,0.000119,0.000119,0.000119
40,606.973,1.55172,1.63619,0.04557,0.59279,0.55102,0.57361,0.22948,1.46569,1.43762,0.0423,6.95e-05,6.95e-05,6.95e-05
