epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1334,0.74277,4.2983,0.01598,0.3237,0.65052,0.38361,0.27277,1.01414,5.22559,0.0415,0.00042,0.00042,0.00042
2,60.748,0.85231,1.43935,0.02,0.59739,0.60886,0.63364,0.20488,2.3107,1.63933,0.10146,0.000838715,0.000838715,0.000838715
3,76.5548,0.97278,0.95018,0.02344,0.14162,0.12821,0.09438,0.04153,2.25301,2.94831,0.09023,0.00123565,0.00123565,0.00123565
4,92.0142,1.07323,0.81929,0.02401,0.25883,0.35897,0.268,0.16401,1.33375,2.03109,0.05287,0.00161081,0.00161081,0.00161081
5,107.272,1.04153,0.72075,0.02391,0.21933,0.25641,0.15872,0.05952,1.87708,2.57778,0.08435,0.001802,0.001802,0.001802
6,122.633,1.05341,0.76317,0.0223,0.3011,0.05128,0.07313,0.03424,2.39208,3.05522,0.11034,0.0017525,0.0017525,0.0017525
7,138.022,0.94992,0.63802,0.02146,0.49671,0.28205,0.27698,0.14783,1.49558,2.06103,0.06518,0.001703,0.001703,0.001703
8,153.571,0.97832,0.70603,0.0218,0.32469,0.66667,0.34655,0.23367,1.20105,1.35156,0.04651,0.0016535,0.0016535,0.0016535
9,169.034,0.87899,0.60136,0.0195,0.91077,0.89744,0.94378,0.71672,0.89155,0.54176,0.03568,0.001604,0.001604,0.001604
10,185.751,0.90003,0.58796,0.01977,0.55046,0.76923,0.69861,0.48861,1.23597,0.91037,0.04956,0.0015545,0.0015545,0.0015545
11,202.095,0.88094,0.60099,0.01898,0.84786,0.79487,0.87875,0.6322,1.05822,0.64408,0.04507,0.001505,0.001505,0.001505
12,218.566,0.80448,0.50951,0.01763,0.35121,0.91614,0.33421,0.28521,0.57677,1.4713,0.02179,0.0014555,0.0014555,0.0014555
13,234.223,0.84775,0.53327,0.01879,0.49252,0.69231,0.47456,0.37389,0.80953,1.20195,0.03185,0.001406,0.001406,0.001406
14,250.106,0.80923,0.50323,0.01596,0.38259,0.87179,0.53448,0.45634,0.68291,1.12938,0.02436,0.0013565,0.0013565,0.0013565
15,266.088,0.77335,0.51203,0.0166,0.90463,0.92308,0.93146,0.77561,0.658,0.5245,0.02565,0.001307,0.001307,0.001307
16,282.461,0.72468,0.45057,0.01542,0.97219,0.92308,0.93019,0.7788,0.71858,0.37895,0.0288,0.0012575,0.0012575,0.0012575
17,303.39,0.74998,0.45217,0.01612,0.96966,0.92308,0.95295,0.81421,0.63733,0.34223,0.0252,0.001208,0.001208,0.001208
18,320.636,0.70787,0.4331,0.01563,0.94458,0.94872,0.92857,0.79934,0.61894,0.34269,0.0231,0.0011585,0.0011585,0.0011585
19,336.616,0.62756,0.47104,0.013,0.89584,0.88227,0.92128,0.80304,0.69372,0.59079,0.0265,0.001109,0.001109,0.001109
20,352.815,0.60151,0.45164,0.01198,0.92878,0.84615,0.92048,0.79471,0.67051,0.52545,0.02516,0.0010595,0.0010595,0.0010595
21,369.11,0.64436,0.44366,0.01221,0.94287,0.84633,0.89282,0.73714,0.70301,0.61098,0.02676,0.00101,0.00101,0.00101
