epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.8957,1.79792,5.99685,0.01898,0.18217,0.07463,0.04419,0.01459,1.94341,4.38831,0.0288,0.00046,0.00046,0.00046
2,61.6229,1.86137,3.31177,0.02058,0.04535,0.1194,0.0259,0.00713,2.11577,3.70979,0.03818,0.00092449,0.00092449,0.00092449
3,79.4692,2.04195,2.87671,0.02342,0.16521,0.13433,0.05314,0.01314,2.93473,3.76943,0.05754,0.00137314,0.00137314,0.00137314
4,97.9985,2.10041,2.77315,0.02627,0.15574,0.1791,0.05027,0.01084,2.58396,3.96741,0.04595,0.00180595,0.00180595,0.00180595
5,117.275,2.13557,2.73223,0.02462,0.12759,0.1194,0.03701,0.01041,2.99564,3.33949,0.05832,0.001868,0.001868,0.001868
6,137.958,2.10799,2.61713,0.0251,0.10867,0.26206,0.07731,0.02758,2.51894,3.98004,0.04532,0.001835,0.001835,0.001835
7,157.545,2.15131,2.69391,0.02672,0.15791,0.16418,0.10335,0.02934,2.46038,3.95265,0.04219,0.001802,0.001802,0.001802
8,181.939,2.12841,2.6688,0.02705,0.18153,0.35821,0.10546,0.02976,2.63488,3.89532,0.04531,0.001769,0.001769,0.001769
9,203.683,2.11328,2.57072,0.02693,0.21749,0.23881,0.15791,0.05681,2.21358,2.91654,0.03646,0.001736,0.001736,0.001736
10,223.769,2.04694,2.49727,0.02477,0.21138,0.32836,0.15076,0.04529,2.32185,3.14148,0.03785,0.001703,0.001703,0.001703
11,244.189,2.04621,2.49471,0.02668,0.21103,0.31343,0.13643,0.04525,2.43049,2.94152,0.03956,0.00167,0.00167,0.00167
12,263.443,2.07276,2.38111,0.02474,0.30825,0.14925,0.13452,0.0372,2.46049,3.03139,0.03929,0.001637,0.001637,0.001637
13,282.716,2.04447,2.36729,0.02479,0.32438,0.34328,0.23302,0.0673,2.32384,2.84449,0.03838,0.001604,0.001604,0.001604
14,302.725,1.97306,2.29731,0.02367,0.34001,0.38806,0.22929,0.06942,2.20203,2.66318,0.0354,0.001571,0.001571,0.001571
15,322.738,1.98119,2.30441,0.02343,0.27755,0.22942,0.16811,0.04956,2.23804,2.74835,0.03809,0.001538,0.001538,0.001538
16,341.895,1.97718,2.34925,0.02362,0.24672,0.31343,0.19083,0.0581,2.22595,2.66676,0.03622,0.001505,0.001505,0.001505
17,361.139,1.95693,2.2743,0.02268,0.41134,0.31343,0.27759,0.08974,2.32846,2.51316,0.03661,0.001472,0.001472,0.001472
18,384.76,1.90514,2.26378,0.02257,0.24346,0.34328,0.2116,0.06534,2.05114,2.67203,0.03173,0.001439,0.001439,0.001439
19,404.158,1.92801,2.19022,0.02189,0.27237,0.32836,0.21029,0.07229,2.21917,2.72253,0.03476,0.001406,0.001406,0.001406
20,423.7,1.89172,2.1672,0.02272,0.2954,0.35821,0.20737,0.10352,2.16912,2.59247,0.03692,0.001373,0.001373,0.001373
21,445.786,1.87238,2.1779,0.0204,0.3314,0.40299,0.20429,0.08472,2.01417,2.45622,0.02882,0.00134,0.00134,0.00134
22,465.184,1.85447,2.04928,0.0221,0.29687,0.44776,0.2497,0.11202,1.89128,2.3146,0.02835,0.001307,0.001307,0.001307
23,487.033,1.82073,2.01798,0.02237,0.43031,0.37313,0.29299,0.12343,2.17659,2.45498,0.03359,0.001274,0.001274,0.001274
24,506.913,1.8749,2.06757,0.02087,0.33441,0.43284,0.29291,0.10764,2.1318,2.46598,0.03146,0.001241,0.001241,0.001241
25,526.22,1.84079,2.07056,0.02176,0.24816,0.37313,0.22509,0.09413,2.13692,2.56443,0.03532,0.001208,0.001208,0.001208
26,546.313,1.80344,2.02669,0.02052,0.27658,0.49254,0.26851,0.10139,2.0254,2.20741,0.03103,0.001175,0.001175,0.001175
27,565.996,1.7733,2.03256,0.02126,0.29786,0.44776,0.26442,0.09619,1.95139,2.39054,0.02866,0.001142,0.001142,0.001142
28,585.275,1.70095,1.96415,0.02051,0.35185,0.46184,0.26785,0.10607,1.98175,2.44198,0.02908,0.001109,0.001109,0.001109
29,604.7,1.78022,2.01491,0.02012,0.49198,0.38806,0.35502,0.13069,1.88988,2.51749,0.02771,0.001076,0.001076,0.001076
30,625.118,1.69334,1.9089,0.01864,0.42179,0.50746,0.35545,0.15573,1.86004,2.33116,0.0254,0.001043,0.001043,0.001043
31,646.649,1.75152,1.93591,0.02006,0.37265,0.43284,0.2984,0.13602,1.90024,2.3781,0.02954,0.00101,0.00101,0.00101
32,666.171,1.684,1.85306,0.01873,0.31043,0.43284,0.28153,0.12487,2.052,2.34694,0.02973,0.000977,0.000977,0.000977
33,685.954,1.6986,1.81681,0.0198,0.35046,0.53731,0.30735,0.13112,2.04557,2.30117,0.03109,0.000944,0.000944,0.000944
34,704.972,1.72636,1.84825,0.01981,0.3293,0.46903,0.29343,0.11193,2.17792,2.36355,0.03475,0.000911,0.000911,0.000911
35,724.074,1.68204,1.85271,0.01891,0.28622,0.50746,0.28021,0.119,1.97018,2.22138,0.02804,0.000878,0.000878,0.000878
36,743.464,1.67171,1.80922,0.01949,0.38193,0.56716,0.37333,0.16112,2.02605,2.06894,0.02926,0.000845,0.000845,0.000845
37,767.827,1.63777,1.82276,0.01881,0.38469,0.52239,0.32945,0.13479,2.0007,2.17478,0.0304,0.000812,0.000812,0.000812
