epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0486,1.52267,5.73763,0.0254,0.45437,0.175,0.21314,0.10461,1.33054,6.56952,0.03344,0.00036,0.00036,0.00036
2,52.7747,1.5366,3.00583,0.02855,0.41647,0.39269,0.32021,0.11578,1.907,3.03336,0.0661,0.000721685,0.000721685,0.000721685
3,66.4183,1.80185,2.34537,0.03489,0.18032,0.025,0.0209,0.00509,2.58591,3.54607,0.082,0.00106456,0.00106456,0.00106456
4,79.8964,1.88092,2.20397,0.03628,0.12876,0.15,0.0569,0.01367,3.00462,2.7945,0.10229,0.00138863,0.00138863,0.00138863
5,93.1949,1.86966,2.12005,0.03623,0.15293,0.1,0.02485,0.00509,3.86276,3.39026,0.12685,0.00169388,0.00169388,0.00169388
6,106.809,1.82609,2.03248,0.03751,0.09685,0.15,0.04999,0.0165,3.40467,4.78052,0.12614,0.0017525,0.0017525,0.0017525
7,120.375,1.93108,2.08611,0.03677,0.17492,0.075,0.0319,0.0045,3.21108,4.5044,0.11154,0.001703,0.001703,0.001703
8,133.87,1.90735,1.96582,0.03753,0.06279,0.075,0.023,0.00331,4.15967,4.07731,0.14054,0.0016535,0.0016535,0.0016535
9,147.328,1.79577,1.9159,0.03543,0.59237,0.45,0.38627,0.12521,2.103,2.7757,0.0729,0.001604,0.001604,0.001604
10,163.123,1.77447,1.82219,0.03502,0.66688,0.4,0.40705,0.08407,2.4835,2.87986,0.07991,0.0015545,0.0015545,0.0015545
11,176.79,1.75989,1.79527,0.03445,0.71809,0.45,0.54187,0.22654,1.99639,1.89961,0.06316,0.001505,0.001505,0.001505
12,190.703,1.71612,1.77488,0.03432,0.62004,0.7,0.59468,0.26904,1.84374,2.19384,0.05605,0.0014555,0.0014555,0.0014555
13,204.536,1.74228,1.88506,0.03377,0.82113,0.57387,0.62318,0.30624,1.63628,1.68769,0.04524,0.001406,0.001406,0.001406
14,218.467,1.67774,1.71504,0.03201,0.71559,0.775,0.66214,0.31658,1.93248,1.29869,0.05655,0.0013565,0.0013565,0.0013565
15,232.251,1.78176,1.81554,0.03318,0.76714,0.7,0.63474,0.2782,1.62968,2.14102,0.05028,0.001307,0.001307,0.001307
16,245.941,1.73072,1.787,0.03161,0.72415,0.72197,0.66899,0.28102,2.14564,2.07136,0.06795,0.0012575,0.0012575,0.0012575
17,259.933,1.71127,1.79982,0.03255,0.78573,0.75,0.75065,0.33155,2.18199,1.76736,0.06717,0.001208,0.001208,0.001208
18,276.338,1.63961,1.76555,0.03053,0.82483,0.70644,0.74625,0.38159,1.88782,1.46457,0.05677,0.0011585,0.0011585,0.0011585
19,292.789,1.65081,1.67287,0.03184,0.73008,0.75,0.71641,0.37442,1.92527,1.81544,0.05849,0.001109,0.001109,0.001109
20,306.876,1.68783,1.70361,0.03153,0.80948,0.775,0.71358,0.36249,1.97302,1.40245,0.05883,0.0010595,0.0010595,0.0010595
21,320.977,1.6456,1.60381,0.03217,0.68604,0.76494,0.71187,0.33368,1.77868,1.39844,0.05632,0.00101,0.00101,0.00101
22,335.032,1.64267,1.5771,0.03197,0.542,0.68054,0.56606,0.32073,1.86466,1.52797,0.05787,0.0009605,0.0009605,0.0009605
23,349.016,1.6594,1.67188,0.03064,0.79791,0.725,0.70873,0.40805,1.83052,1.36156,0.05398,0.000911,0.000911,0.000911
24,364.035,1.56271,1.67388,0.02726,0.81673,0.77999,0.76281,0.43659,1.89404,1.25491,0.05875,0.0008615,0.0008615,0.0008615
25,378.665,1.5367,1.62608,0.0292,0.90886,0.74799,0.76584,0.41451,1.7431,1.4109,0.04943,0.000812,0.000812,0.000812
26,393.043,1.56269,1.5749,0.02985,0.87464,0.675,0.72382,0.40244,1.7634,1.45136,0.05085,0.0007625,0.0007625,0.0007625
27,407.609,1.5646,1.61828,0.02864,0.85683,0.74815,0.71097,0.39098,1.71242,1.72136,0.05167,0.000713,0.000713,0.000713
28,422.069,1.4937,1.47646,0.02795,0.81381,0.75,0.71833,0.4193,1.59523,1.47848,0.04384,0.0006635,0.0006635,0.0006635
29,436.575,1.5084,1.52171,0.02768,0.8004,0.775,0.72505,0.42113,1.75174,1.2909,0.04932,0.000614,0.000614,0.000614
30,450.977,1.48742,1.53196,0.02675,0.87493,0.775,0.74726,0.43563,1.68509,1.46967,0.04868,0.0005645,0.0005645,0.0005645
31,467.624,1.55963,1.65853,0.03783,0.88474,0.76776,0.77129,0.35737,1.95359,1.41323,0.06559,0.000515,0.000515,0.000515
32,482.089,1.52373,1.56116,0.03523,0.87851,0.775,0.71229,0.45708,1.48616,1.1709,0.04102,0.0004655,0.0004655,0.0004655
33,497.14,1.48686,1.54675,0.03404,0.81508,0.775,0.70892,0.43444,1.37672,1.26442,0.03944,0.000416,0.000416,0.000416
34,511.191,1.50884,1.57775,0.03573,0.84133,0.8,0.73861,0.43511,1.34485,1.23445,0.03837,0.0003665,0.0003665,0.0003665
35,525.383,1.57219,1.5396,0.03787,0.79852,0.7928,0.73105,0.42912,1.26301,1.39302,0.03708,0.000317,0.000317,0.000317
36,539.657,1.46155,1.55361,0.03424,0.85204,0.775,0.72406,0.44529,1.28912,1.41938,0.03744,0.0002675,0.0002675,0.0002675
37,553.852,1.40352,1.48718,0.0324,0.88464,0.76701,0.72556,0.45839,1.34828,1.41875,0.03803,0.000218,0.000218,0.000218
38,568.614,1.4141,1.51975,0.03027,0.86108,0.7748,0.73098,0.46047,1.35707,1.3804,0.03611,0.0001685,0.0001685,0.0001685
39,583.248,1.39702,1.38645,0.0319,0.85702,0.8,0.73768,0.46568,1.37145,1.36281,0.03566,0.000119,0.000119,0.000119
40,600.118,1.39566,1.50218,0.0307,0.83822,0.775,0.7184,0.45279,1.44172,1.26104,0.03819,6.95e-05,6.95e-05,6.95e-05
