epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2233,1.17265,5.26159,0.01687,0.43908,0.40984,0.43895,0.22535,1.60032,3.6309,0.03897,0.00052,0.00052,0.00052
2,56.7676,1.40156,2.34845,0.02177,0.42641,0.36066,0.29196,0.13548,1.95361,2.98578,0.05141,0.00103377,0.00103377,0.00103377
3,75.5834,1.57173,1.93135,0.02451,0.37073,0.37705,0.28471,0.07787,2.81856,4.03942,0.09514,0.0015208,0.0015208,0.0015208
4,95.2357,1.69205,1.89194,0.0265,0.14472,0.11475,0.05798,0.01641,2.9264,6.03997,0.08757,0.0018515,0.0018515,0.0018515
5,115.668,1.79111,1.86519,0.02799,0.34536,0.36066,0.28431,0.09902,2.51249,4.21463,0.0681,0.001802,0.001802,0.001802
6,137.133,1.61962,1.76999,0.02506,0.42935,0.52459,0.38956,0.10981,2.29114,2.75563,0.06787,0.0017525,0.0017525,0.0017525
7,160.177,1.59804,1.60977,0.02349,0.35484,0.47541,0.32343,0.13736,1.91715,3.48566,0.05206,0.001703,0.001703,0.001703
8,181.805,1.54885,1.55327,0.02324,0.5438,0.5082,0.52528,0.29441,1.80192,2.28779,0.0484,0.0016535,0.0016535,0.0016535
9,202.949,1.55159,1.45418,0.02386,0.67309,0.44262,0.49822,0.3019,1.59957,3.14093,0.03991,0.001604,0.001604,0.001604
10,224.55,1.58456,1.42407,0.02453,0.59208,0.47589,0.58666,0.31138,1.5364,1.72482,0.03604,0.0015545,0.0015545,0.0015545
11,246.592,1.53612,1.41991,0.02311,0.54664,0.4918,0.51036,0.30361,1.53388,2.49789,0.037,0.001505,0.001505,0.001505
12,268.239,1.47174,1.44006,0.02233,0.60984,0.63934,0.63944,0.34668,1.51536,1.54353,0.0358,0.0014555,0.0014555,0.0014555
13,289.932,1.37541,1.36207,0.02102,0.60379,0.54098,0.59388,0.36113,1.59701,1.6519,0.03954,0.001406,0.001406,0.001406
14,311.711,1.38943,1.3002,0.02094,0.70659,0.72131,0.75596,0.42989,1.664,1.29729,0.0465,0.0013565,0.0013565,0.0013565
15,333.544,1.36938,1.25213,0.01969,0.7681,0.81454,0.80349,0.4877,1.35169,1.25812,0.03429,0.001307,0.001307,0.001307
16,355.476,1.35307,1.21241,0.01973,0.84142,0.65574,0.76343,0.48116,1.41111,1.32594,0.03439,0.0012575,0.0012575,0.0012575
17,377.013,1.24374,1.14452,0.01855,0.70849,0.75707,0.75711,0.46102,1.36736,1.44752,0.03396,0.001208,0.001208,0.001208
