epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.286,4.04491,7.55523,4.62102,0.68116,0.13533,0.02193,0.00425,4.00881,25.4818,2.99756,0.000165618,0.000165618,0.0670419
2,364.592,3.2046,6.27344,3.72441,0.26242,0.2698,0.075,0.01444,4.02037,11.9139,2.51181,0.00033064,0.00033064,0.0338736
3,545.477,2.83377,5.52512,3.25787,0.41107,0.2801,0.20206,0.04183,3.89012,7.15582,2.46705,0.000494012,0.000494012,0.000703656
4,726.236,2.65417,4.9703,3.10563,0.33768,0.38862,0.2043,0.04084,3.92762,7.33712,2.42891,0.000492575,0.000492575,0.000492575
5,906.522,2.47274,4.52404,3.00269,0.33685,0.49086,0.44489,0.10427,3.87395,4.84277,2.35461,0.0004901,0.0004901,0.0004901
6,1086.9,2.37792,4.17742,2.93719,0.52803,0.57643,0.54322,0.12024,3.73647,4.08755,2.30677,0.000487625,0.000487625,0.000487625
7,1267.48,2.30549,3.92403,2.87591,0.49113,0.58164,0.55307,0.13051,3.76796,4.43567,2.3685,0.00048515,0.00048515,0.00048515
8,1447.21,2.21875,3.65318,2.83912,0.59779,0.59439,0.59961,0.15151,3.65578,3.62646,2.07871,0.000482675,0.000482675,0.000482675
9,1627.55,2.17114,3.55774,2.77635,0.60772,0.55642,0.58016,0.1502,3.55205,3.88004,2.05437,0.0004802,0.0004802,0.0004802
10,1807.75,2.1087,3.36015,2.73496,0.59055,0.58984,0.61427,0.15352,3.80955,3.5261,2.27589,0.000477725,0.000477725,0.000477725
11,1988.02,2.09872,3.33088,2.69676,0.57679,0.71315,0.71648,0.17085,3.69868,3.30895,2.1789,0.00047525,0.00047525,0.00047525
12,2168.7,2.07017,3.21683,2.66878,0.58847,0.61829,0.64787,0.17318,3.68257,3.53711,2.09616,0.000472775,0.000472775,0.000472775
13,2349.28,2.05334,3.13848,2.62877,0.66302,0.68047,0.69544,0.19062,3.59,3.39209,2.1945,0.0004703,0.0004703,0.0004703
14,2529.85,1.99469,3.02501,2.59261,0.67929,0.68718,0.71113,0.19069,3.65549,3.12964,2.37287,0.000467825,0.000467825,0.000467825
15,2710.44,1.99459,2.94934,2.5828,0.64901,0.65362,0.68152,0.17424,3.65311,3.1996,2.07435,0.00046535,0.00046535,0.00046535
16,2890.89,1.95539,2.9405,2.54161,0.71064,0.70489,0.73836,0.20699,3.56386,2.90426,2.09166,0.000462875,0.000462875,0.000462875
17,3071.71,1.96137,2.90766,2.53309,0.59376,0.6576,0.62395,0.15655,3.80379,3.44258,2.26249,0.0004604,0.0004604,0.0004604
18,3252.28,1.91032,2.81912,2.47765,0.67452,0.7222,0.72278,0.19214,3.58796,2.96325,2.08325,0.000457925,0.000457925,0.000457925
19,3432.46,1.90672,2.7835,2.47808,0.59313,0.59928,0.60683,0.17986,3.46481,3.5801,1.98652,0.00045545,0.00045545,0.00045545
20,3612.95,1.88176,2.7141,2.46468,0.71866,0.64338,0.70543,0.19207,3.61616,2.97604,1.96647,0.000452975,0.000452975,0.000452975
21,3792.86,1.8865,2.64156,2.44867,0.61108,0.74231,0.74571,0.22247,3.50184,2.67515,1.86865,0.0004505,0.0004505,0.0004505
22,3972.83,1.86804,2.60008,2.41762,0.60087,0.74816,0.71569,0.19271,3.69213,3.02763,2.07652,0.000448025,0.000448025,0.000448025
23,4153.28,1.86749,2.66609,2.40671,0.77913,0.75596,0.78216,0.22526,3.53316,2.63289,2.02669,0.00044555,0.00044555,0.00044555
24,4333.83,1.84755,2.5793,2.41016,0.73524,0.67863,0.7413,0.19513,3.63247,2.74607,2.17114,0.000443075,0.000443075,0.000443075
