epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.347,2.18434,2.89646,2.87304,0.56209,0.55714,0.51903,0.18401,2.49646,3.63681,3.56479,0.000166096,0.000166096,0.0669469
2,516.245,1.46456,1.93565,2.13649,0.88167,0.52915,0.60298,0.27124,1.99139,2.30961,2.9661,0.000326773,0.000326773,0.0337743
3,773.918,1.29518,1.66548,1.99187,0.64608,0.66112,0.61454,0.32203,1.96061,2.18322,2.8653,0.00048145,0.00048145,0.000595605
4,1031.52,1.19786,1.52197,1.89709,0.41065,0.52857,0.38013,0.1622,1.95195,2.02113,2.81184,0.000473,0.000473,0.000473
5,1288.92,1.12957,1.40069,1.83144,0.94374,0.33815,0.61862,0.2778,1.7609,1.87364,2.66384,0.000464,0.000464,0.000464
6,1545.82,1.08052,1.32862,1.78454,0.93856,0.58218,0.69387,0.36952,1.74619,1.95127,2.58032,0.000455,0.000455,0.000455
7,1802.97,1.05673,1.28389,1.75472,0.8716,0.55714,0.64634,0.32883,1.63053,1.7373,2.66621,0.000446,0.000446,0.000446
8,2059.8,1.01696,1.20617,1.71414,0.91158,0.42793,0.52353,0.26633,1.7236,1.80042,2.60238,0.000437,0.000437,0.000437
9,2316.51,0.98699,1.1644,1.68418,0.98019,0.34644,0.46296,0.22906,1.76729,1.72027,2.61984,0.000428,0.000428,0.000428
10,2573.21,0.96358,1.14154,1.66201,0.45837,0.41334,0.54384,0.27627,1.5388,1.90013,2.57466,0.000419,0.000419,0.000419
11,2829.56,0.9576,1.10497,1.65562,0.9042,0.67768,0.68451,0.3648,1.63188,1.59824,2.58876,0.00041,0.00041,0.00041
12,3086.06,0.93313,1.08613,1.63202,0.89855,0.68407,0.72678,0.34166,1.62992,1.65506,2.6032,0.000401,0.000401,0.000401
13,3342.95,0.92062,1.06196,1.62036,0.73829,0.76599,0.70642,0.37983,1.53456,1.52292,2.62311,0.000392,0.000392,0.000392
14,3599.97,0.90359,1.02923,1.60432,0.88721,0.68571,0.71126,0.36292,1.56079,1.35739,2.49919,0.000383,0.000383,0.000383
15,3856.8,0.88845,1.01073,1.59168,0.90934,0.66497,0.69396,0.32957,1.57271,1.30462,2.56517,0.000374,0.000374,0.000374
16,4113.55,0.87207,0.99334,1.57377,0.9042,0.67117,0.66171,0.32308,1.62422,1.57451,2.66856,0.000365,0.000365,0.000365
17,4370.18,0.86932,0.97537,1.57031,0.92837,0.66389,0.67113,0.35116,1.61831,1.55125,2.64237,0.000356,0.000356,0.000356
18,4627.06,0.85585,0.96202,1.55878,0.88489,0.65906,0.65472,0.35907,1.58707,1.54439,2.61013,0.000347,0.000347,0.000347
19,4883.65,0.84734,0.94997,1.55145,0.90098,0.67143,0.71097,0.38034,1.5849,1.37891,2.62584,0.000338,0.000338,0.000338
20,5140.33,0.83543,0.94489,1.54251,0.93188,0.67143,0.69737,0.39627,1.50151,1.39971,2.49148,0.000329,0.000329,0.000329
21,5397.32,0.82755,0.91978,1.53537,0.92831,0.65714,0.69753,0.31689,1.62973,1.58049,2.52404,0.00032,0.00032,0.00032
22,5654.18,0.82382,0.91657,1.53297,0.87613,0.68507,0.67947,0.38001,1.45337,1.46638,2.45408,0.000311,0.000311,0.000311
23,5910.86,0.80607,0.88115,1.51945,0.9342,0.67143,0.69512,0.37695,1.52644,1.38342,2.50616,0.000302,0.000302,0.000302
24,6167.42,0.80044,0.8802,1.50892,0.92889,0.67143,0.69561,0.41064,1.41027,1.48721,2.4155,0.000293,0.000293,0.000293
25,6424.07,0.79441,0.86576,1.5063,0.89223,0.67143,0.69642,0.41943,1.43745,1.3041,2.44836,0.000284,0.000284,0.000284
26,6681.01,0.80072,0.86692,1.50801,0.90633,0.68571,0.69174,0.3544,1.49613,1.36266,2.50396,0.000275,0.000275,0.000275
27,6938.23,0.78644,0.85503,1.49667,0.89994,0.67143,0.68613,0.36573,1.426,1.50212,2.48765,0.000266,0.000266,0.000266
28,7195.6,0.78306,0.84331,1.49079,0.89126,0.67143,0.67426,0.35924,1.44332,1.32881,2.56495,0.000257,0.000257,0.000257
29,7452.71,0.7718,0.83061,1.48534,0.89446,0.68571,0.68747,0.42093,1.37016,1.435,2.44808,0.000248,0.000248,0.000248
30,7709.89,0.76228,0.82154,1.47894,0.92514,0.69203,0.69313,0.37235,1.41126,1.19484,2.50005,0.000239,0.000239,0.000239
31,7967.04,0.76811,0.81913,1.47569,0.90447,0.68022,0.68357,0.3792,1.4009,1.44468,2.36164,0.00023,0.00023,0.00023
32,8224.01,0.75265,0.80423,1.46547,0.9007,0.68921,0.69383,0.40682,1.35017,1.3047,2.42723,0.000221,0.000221,0.000221
33,8480.81,0.74635,0.79084,1.46194,0.92017,0.67143,0.74493,0.42442,1.34132,1.34912,2.28724,0.000212,0.000212,0.000212
34,8737.76,0.7494,0.79059,1.46498,0.92323,0.67865,0.68758,0.3967,1.38031,1.43654,2.42874,0.000203,0.000203,0.000203
35,8994.25,0.74317,0.78289,1.46007,0.89296,0.65714,0.68647,0.37661,1.40171,1.53824,2.40354,0.000194,0.000194,0.000194
36,9251.06,0.73747,0.77346,1.45259,0.9328,0.67143,0.70074,0.38425,1.44181,1.21343,2.49618,0.000185,0.000185,0.000185
37,9508.12,0.7298,0.76306,1.44463,0.93235,0.65714,0.69614,0.40587,1.37869,1.42769,2.40482,0.000176,0.000176,0.000176
38,9764.84,0.73031,0.75718,1.44454,0.91379,0.67143,0.68992,0.42242,1.31027,1.47462,2.35183,0.000167,0.000167,0.000167
39,10021.7,0.72228,0.75721,1.4392,0.9358,0.67143,0.69021,0.3927,1.30721,1.31121,2.34069,0.000158,0.000158,0.000158
40,10278.4,0.70652,0.74797,1.42498,0.8878,0.67143,0.6865,0.45768,1.27054,1.43338,2.31799,0.000149,0.000149,0.000149
41,10535.9,0.71118,0.73916,1.42631,0.93527,0.67143,0.78196,0.45658,1.28985,1.34184,2.32508,0.00014,0.00014,0.00014
42,10792.9,0.70396,0.72941,1.42635,0.92371,0.67683,0.69637,0.40159,1.27332,1.43666,2.27887,0.000131,0.000131,0.000131
43,11050.2,0.6976,0.71582,1.4186,0.9213,0.6678,0.74472,0.44448,1.31514,1.3335,2.41243,0.000122,0.000122,0.000122
44,11307.4,0.69612,0.71619,1.41887,0.90033,0.67266,0.7555,0.41132,1.29399,1.39255,2.31551,0.000113,0.000113,0.000113
45,11564.8,0.68781,0.71327,1.41104,0.91277,0.68923,0.73565,0.42365,1.29318,1.40754,2.30225,0.000104,0.000104,0.000104
46,11821.1,0.67922,0.46525,1.61938,0.88861,0.68571,0.74093,0.42253,1.30706,1.38581,2.32735,9.5e-05,9.5e-05,9.5e-05
47,12076.8,0.65726,0.43561,1.59937,0.92382,0.67464,0.73626,0.42835,1.3042,1.39253,2.27518,8.6e-05,8.6e-05,8.6e-05
48,12332.4,0.6253,0.41941,1.56625,0.9226,0.67129,0.76367,0.44086,1.20774,1.34744,2.21813,7.7e-05,7.7e-05,7.7e-05
49,12588.1,0.61244,0.40898,1.55336,0.92287,0.67587,0.75072,0.46587,1.18637,1.3655,2.23314,6.8e-05,6.8e-05,6.8e-05
50,12844.2,0.59433,0.39547,1.53028,0.90141,0.68169,0.7666,0.45167,1.19218,1.37152,2.23993,5.9e-05,5.9e-05,5.9e-05
51,13099.9,0.57364,0.3871,1.51541,0.9048,0.69519,0.75238,0.44726,1.22272,1.34851,2.26061,5e-05,5e-05,5e-05
52,13355.2,0.56637,0.38275,1.50225,0.92276,0.67897,0.75381,0.43204,1.19113,1.29817,2.24624,4.1e-05,4.1e-05,4.1e-05
53,13610.6,0.55549,0.3758,1.49113,0.92283,0.67812,0.76155,0.44724,1.19609,1.32258,2.24762,3.2e-05,3.2e-05,3.2e-05
54,13866.1,0.54401,0.37027,1.48274,0.91845,0.67143,0.75775,0.44919,1.18995,1.30583,2.24365,2.3e-05,2.3e-05,2.3e-05
55,14121.6,0.53389,0.36214,1.46813,0.92173,0.6688,0.75879,0.46153,1.18175,1.3075,2.22946,1.4e-05,1.4e-05,1.4e-05
