epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.615,2.2114,2.07896,2.80809,0.76683,0.57555,0.58402,0.17064,2.64245,2.66663,4.27269,0.000166096,0.000166096,0.0669469
2,504.18,1.44007,1.39119,2.11264,0.69522,0.675,0.62447,0.29295,2.07241,1.9054,3.15762,0.000326773,0.000326773,0.0337743
3,756.866,1.27888,1.24331,1.98191,0.75278,0.575,0.5919,0.29515,2.10898,1.97209,3.01196,0.00048145,0.00048145,0.000595605
4,1009.47,1.18751,1.16191,1.89344,0.6178,0.475,0.47467,0.20334,2.22528,2.10673,2.88436,0.000473,0.000473,0.000473
5,1261.56,1.11753,1.10764,1.82905,0.74912,0.575,0.54785,0.30412,1.95354,1.96788,2.94467,0.000464,0.000464,0.000464
6,1513.47,1.07705,1.06639,1.78757,0.81175,0.64691,0.62407,0.34412,1.98824,1.77339,2.87394,0.000455,0.000455,0.000455
7,1765.82,1.04778,1.04645,1.75865,0.76582,0.65415,0.63468,0.33711,1.81069,1.46284,2.68512,0.000446,0.000446,0.000446
8,2017.89,1.00942,1.00474,1.72213,0.72153,0.77736,0.68616,0.39258,1.67629,1.48083,2.74785,0.000437,0.000437,0.000437
9,2269.66,0.97773,0.97024,1.69036,0.81988,0.65,0.67357,0.30587,2.00943,1.70978,2.8711,0.000428,0.000428,0.000428
10,2521.72,0.95272,0.95297,1.66645,0.73722,0.675,0.70731,0.41283,1.65469,1.48332,2.54619,0.000419,0.000419,0.000419
11,2773.48,0.94287,0.94251,1.65658,0.75288,0.675,0.70748,0.41419,1.59126,1.39809,2.64385,0.00041,0.00041,0.00041
12,3025.64,0.92805,0.9283,1.64135,0.82188,0.65,0.6665,0.38667,1.75249,1.58589,2.63476,0.000401,0.000401,0.000401
