epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.29,2.18434,2.89646,2.87304,0.56209,0.55714,0.51903,0.18401,2.49646,3.63681,3.56479,0.000166096,0.000166096,0.0669469
2,575.521,1.4668,1.94192,2.13914,0.86263,0.52901,0.53984,0.27096,1.8894,2.46829,2.88913,0.000331115,0.000331115,0.0337786
3,866.782,1.29328,1.67415,1.98991,0.75162,0.6306,0.62668,0.36286,1.7767,2.45531,2.69738,0.000494485,0.000494485,0.00060864
4,1158.44,1.19712,1.51591,1.89576,0.89218,0.38571,0.40627,0.2052,1.94053,1.91071,2.9884,0.000492575,0.000492575,0.000492575
5,1450.07,1.1258,1.40719,1.82721,0.46622,0.44521,0.48398,0.29573,1.52293,1.83372,2.52965,0.0004901,0.0004901,0.0004901
6,1741.87,1.0845,1.33544,1.78622,0.85236,0.55714,0.62609,0.34507,1.70057,1.76852,2.55247,0.000487625,0.000487625,0.000487625
7,2033.27,1.05452,1.2825,1.7484,0.87799,0.64286,0.67965,0.31451,1.60655,1.7688,2.67646,0.00048515,0.00048515,0.00048515
8,2324.28,1.01873,1.21723,1.7133,0.7948,0.72739,0.71867,0.38634,1.68159,1.65849,2.65501,0.000482675,0.000482675,0.000482675
9,2616.44,0.98838,1.17111,1.68264,0.86583,0.38958,0.52777,0.29968,1.62974,1.60632,2.53904,0.0004802,0.0004802,0.0004802
10,2908.97,0.96324,1.14491,1.66089,0.91547,0.66952,0.73003,0.37033,1.6268,1.61819,2.64567,0.000477725,0.000477725,0.000477725
11,3200.69,0.95818,1.11652,1.65645,0.89488,0.62296,0.6721,0.30952,1.6136,1.6535,2.58477,0.00047525,0.00047525,0.00047525
12,3492.3,0.93673,1.09956,1.63465,0.6221,0.6,0.5832,0.28955,1.63863,1.68184,2.53525,0.000472775,0.000472775,0.000472775
13,3783.25,0.92391,1.06789,1.62353,0.67085,0.72857,0.67216,0.4061,1.4734,1.6507,2.59281,0.0004703,0.0004703,0.0004703
14,4074.8,0.90499,1.04092,1.60386,0.8911,0.68453,0.70973,0.32863,1.54576,1.40652,2.50795,0.000467825,0.000467825,0.000467825
15,4366.46,0.89464,1.01788,1.59367,0.67411,0.68571,0.65521,0.31136,1.49914,1.48603,2.47203,0.00046535,0.00046535,0.00046535
16,4658.36,0.87914,1.00334,1.57915,0.84786,0.62857,0.73509,0.41627,1.51245,1.35444,2.53783,0.000462875,0.000462875,0.000462875
17,4949.26,0.87644,0.98769,1.5777,0.90463,0.65714,0.675,0.35115,1.59343,1.52109,2.61371,0.0004604,0.0004604,0.0004604
18,5241.69,0.86082,0.96982,1.56264,0.91931,0.64411,0.6868,0.38285,1.56562,1.48292,2.58326,0.000457925,0.000457925,0.000457925
19,5533.55,0.85398,0.96402,1.55807,0.89947,0.67799,0.67261,0.37331,1.50145,1.43703,2.53754,0.00045545,0.00045545,0.00045545
20,5826.29,0.84409,0.96105,1.54784,0.91769,0.65714,0.748,0.39809,1.43298,1.38931,2.38164,0.000452975,0.000452975,0.000452975
21,6118.92,0.83842,0.93273,1.54442,0.87637,0.67754,0.73149,0.32015,1.59505,1.33584,2.50052,0.0004505,0.0004505,0.0004505
22,6411.53,0.8336,0.93498,1.5402,0.87245,0.68571,0.66815,0.38897,1.38062,1.49148,2.37456,0.000448025,0.000448025,0.000448025
23,6704.68,0.8166,0.90396,1.52719,0.71626,0.57143,0.53759,0.29596,1.41192,1.34601,2.39332,0.00044555,0.00044555,0.00044555
24,6995.59,0.81183,0.90015,1.51796,0.90706,0.68325,0.7527,0.32999,1.32489,1.26007,2.33443,0.000443075,0.000443075,0.000443075
25,7287.56,0.8081,0.8869,1.51728,0.91483,0.68571,0.70365,0.42725,1.40735,1.26897,2.43453,0.0004406,0.0004406,0.0004406
26,7579.19,0.81471,0.89281,1.52164,0.91603,0.66209,0.69539,0.33751,1.45843,1.37607,2.45576,0.000438125,0.000438125,0.000438125
27,7871.55,0.80038,0.88272,1.50829,0.89353,0.68571,0.6871,0.35254,1.42597,1.46318,2.44782,0.00043565,0.00043565,0.00043565
28,8162.91,0.80013,0.86995,1.50558,0.91067,0.65714,0.72012,0.38652,1.47348,1.39096,2.49168,0.000433175,0.000433175,0.000433175
29,8454.83,0.79024,0.85432,1.50013,0.89052,0.66101,0.68451,0.40802,1.29066,1.61961,2.41722,0.0004307,0.0004307,0.0004307
30,8746.55,0.78556,0.84575,1.49801,0.90227,0.67143,0.72103,0.38009,1.54014,1.42647,2.53685,0.000428225,0.000428225,0.000428225
31,9037.91,0.78748,0.85263,1.49225,0.89543,0.68432,0.67844,0.36478,1.41865,1.39497,2.35352,0.00042575,0.00042575,0.00042575
32,9329.44,0.7729,0.83163,1.48151,0.9286,0.68571,0.73,0.42596,1.32734,1.42795,2.32889,0.000423275,0.000423275,0.000423275
