epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,89.359,4.19639,6.41578,7.26103,4.55687,0,0.22481,0.23045,0.06943,0.02426,0.38605,0.18321,0.05948,0.02334,3.76273,4.65105,13.4323,4.26759,0,0.000166132,0.000166132,0.0669396
2,175.4,3.33271,4.70499,6.11403,3.86338,0,0.6725,0.21126,0.19188,0.09024,0.70341,0.18143,0.18883,0.08545,3.18475,3.62426,8.80481,3.51626,0,0.00033214,0.00033214,0.0337723
3,261.299,2.98565,4.45766,5.60122,3.5124,0,0.27159,0.30773,0.2733,0.14024,0.37535,0.27422,0.23203,0.11905,2.8811,3.77945,7.14508,3.25364,0,0.000497488,0.000497488,0.000604326
4,347.325,2.75715,4.18556,5.14958,3.29692,0,0.4336,0.44475,0.40202,0.20488,0.46126,0.39413,0.35444,0.18012,2.69629,3.2664,5.92874,3.06734,0,0.00049703,0.00049703,0.00049703
5,431.918,2.59731,3.97876,4.83649,3.12648,0,0.5364,0.48707,0.48558,0.26627,0.50723,0.44056,0.40931,0.21638,2.47336,3.16931,5.20099,2.81631,0,0.00049604,0.00049604,0.00049604
6,517.369,2.42936,3.85118,4.50036,2.98236,0,0.50598,0.50334,0.44781,0.22453,0.46671,0.45201,0.39103,0.20351,2.4797,3.05292,4.84337,2.74835,0,0.00049505,0.00049505,0.00049505
7,602.119,2.32526,3.73279,4.23528,2.85684,0,0.61502,0.58228,0.58206,0.35438,0.53037,0.50027,0.46458,0.25929,2.20158,2.83454,4.02215,2.55755,0,0.00049406,0.00049406,0.00049406
8,685.856,2.25619,3.65013,4.0838,2.78599,0,0.61428,0.56869,0.57265,0.31654,0.57929,0.52036,0.48718,0.26974,2.28305,2.86166,4.77387,2.64904,0,0.00049307,0.00049307,0.00049307
9,768.606,2.14372,3.57941,3.88271,2.6928,0,0.74356,0.58613,0.65252,0.39924,0.68657,0.51805,0.52684,0.31083,2.00316,2.75331,3.41176,2.34995,0,0.00049208,0.00049208,0.00049208
10,852.301,2.08681,3.49317,3.72373,2.6293,0,0.60906,0.54693,0.58021,0.34499,0.55189,0.52258,0.49397,0.27928,2.05728,2.88985,3.7972,2.31826,0,0.00049109,0.00049109,0.00049109
11,936.699,2.0364,3.45657,3.66251,2.57252,0,0.73342,0.62305,0.67026,0.38713,0.71419,0.58136,0.5825,0.32386,2.09723,2.5983,3.26858,2.37594,0,0.0004901,0.0004901,0.0004901
12,1021.02,2.02297,3.43355,3.55253,2.52948,0,0.752,0.61471,0.64904,0.40263,0.71052,0.57355,0.55954,0.32776,2.00616,2.51894,3.31455,2.28246,0,0.00048911,0.00048911,0.00048911
13,1104.58,1.94376,3.29927,3.46156,2.49615,0,0.64185,0.59118,0.60814,0.35917,0.60166,0.54308,0.52393,0.28836,2.05471,2.5939,3.4054,2.32397,0,0.00048812,0.00048812,0.00048812
14,1188.46,1.94799,3.36085,3.4647,2.45239,0,0.72,0.64173,0.66597,0.42755,0.68856,0.585,0.56962,0.34531,1.87635,2.47746,3.0808,2.18552,0,0.00048713,0.00048713,0.00048713
15,1272.02,1.92477,3.25401,3.32876,2.44106,0,0.6925,0.65114,0.66636,0.43215,0.6626,0.6183,0.58192,0.35137,1.83996,2.49418,3.09342,2.12491,0,0.00048614,0.00048614,0.00048614
16,1355.79,1.84976,3.15909,3.24183,2.38267,0,0.77433,0.68435,0.72679,0.48649,0.72771,0.6341,0.63173,0.38794,1.7053,2.30838,2.86979,1.98091,0,0.00048515,0.00048515,0.00048515
17,1438.87,1.82584,3.21633,3.2295,2.36132,0,0.81344,0.66248,0.73729,0.47108,0.75249,0.60242,0.6217,0.375,1.77532,2.40706,2.58056,2.07024,0,0.00048416,0.00048416,0.00048416
18,1522.94,1.82833,3.15321,3.15317,2.35665,0,0.74303,0.67982,0.73616,0.477,0.7104,0.63177,0.65869,0.3849,1.77322,2.29568,2.62865,2.0866,0,0.00048317,0.00048317,0.00048317
19,1606.35,1.76537,3.05424,2.99262,2.29542,0,0.77072,0.6858,0.73227,0.50484,0.73517,0.64659,0.66179,0.41393,1.71302,2.33698,2.67222,2.00226,0,0.00048218,0.00048218,0.00048218
20,1689.58,1.75051,3.08539,2.98912,2.2869,0,0.78203,0.68787,0.75296,0.49101,0.73237,0.63699,0.64854,0.39394,1.72465,2.49826,2.54358,2.04974,0,0.00048119,0.00048119,0.00048119
21,1772.05,1.73703,3.08063,2.98048,2.28289,0,0.77341,0.71067,0.7404,0.47973,0.71929,0.64722,0.62506,0.38907,1.70144,2.33961,2.81917,2.01077,0,0.0004802,0.0004802,0.0004802
22,1854.69,1.74523,3.05603,2.9952,2.26378,0,0.72388,0.71073,0.76127,0.51259,0.67796,0.63926,0.64601,0.39954,1.61009,2.27993,2.45289,1.93755,0,0.00047921,0.00047921,0.00047921
23,1937.85,1.68168,2.9526,2.85234,2.21797,0,0.77166,0.67686,0.75034,0.50856,0.70658,0.64706,0.64991,0.41435,1.67502,2.17538,2.46571,1.98905,0,0.00047822,0.00047822,0.00047822
24,2020.76,1.66691,2.93956,2.83694,2.20637,0,0.79319,0.6948,0.74319,0.5132,0.72308,0.64205,0.63363,0.38334,1.57934,2.20386,2.39184,1.87304,0,0.00047723,0.00047723,0.00047723
25,2103.25,1.65808,2.90465,2.82485,2.18461,0,0.77838,0.69019,0.7469,0.50688,0.72487,0.63691,0.63178,0.38915,1.56846,2.23794,2.57393,1.90722,0,0.00047624,0.00047624,0.00047624
26,2186.31,1.672,2.96454,2.82477,2.20384,0,0.838,0.70762,0.77414,0.52766,0.78903,0.65823,0.67454,0.42304,1.57637,2.19393,2.2843,1.93719,0,0.00047525,0.00047525,0.00047525
27,2269.76,1.65755,2.87931,2.73882,2.18551,0,0.80106,0.72001,0.79173,0.54498,0.74851,0.66398,0.69448,0.42482,1.534,2.18722,2.40701,1.84188,0,0.00047426,0.00047426,0.00047426
28,2355.08,1.59454,2.89717,2.69442,2.1615,0,0.79187,0.71381,0.7698,0.50589,0.75051,0.65385,0.68775,0.40509,1.60646,2.41702,2.34895,1.94312,0,0.00047327,0.00047327,0.00047327
29,2441.34,1.60666,2.97465,2.67783,2.15306,0,0.77095,0.75471,0.78924,0.54979,0.72516,0.69198,0.6984,0.43405,1.48355,2.18055,2.18515,1.80621,0,0.00047228,0.00047228,0.00047228
30,2527.58,1.56196,2.83041,2.6634,2.12588,0,0.84297,0.71544,0.79168,0.55292,0.7905,0.66904,0.69737,0.43717,1.53098,2.09181,2.07644,1.82948,0,0.00047129,0.00047129,0.00047129
31,2612.87,1.56124,2.79786,2.59543,2.10445,0,0.83084,0.7392,0.8064,0.57093,0.79147,0.68887,0.71604,0.4344,1.42555,2.07593,2.0768,1.77098,0,0.0004703,0.0004703,0.0004703
32,2696.29,1.56467,2.87494,2.63974,2.11366,0,0.85606,0.72111,0.78602,0.53814,0.79949,0.66227,0.69224,0.42756,1.53317,2.08943,2.16945,1.84748,0,0.00046931,0.00046931,0.00046931
33,2779.23,1.55935,2.85858,2.55036,2.08937,0,0.84927,0.70942,0.81255,0.57209,0.77922,0.66254,0.71146,0.46909,1.47635,1.97094,2.04701,1.74494,0,0.00046832,0.00046832,0.00046832
34,2863.27,1.51608,2.72938,2.50243,2.08355,0,0.8005,0.70655,0.79393,0.54543,0.76239,0.66413,0.71309,0.44338,1.5641,2.06058,2.22058,1.86392,0,0.00046733,0.00046733,0.00046733
35,2946.55,1.54468,2.8406,2.62185,2.09954,0,0.85587,0.7328,0.8016,0.55659,0.81156,0.68766,0.72171,0.45575,1.48809,2.10245,2.16259,1.78127,0,0.00046634,0.00046634,0.00046634
36,3029.7,1.48932,2.69699,2.50582,2.05056,0,0.86928,0.7286,0.79587,0.55166,0.80135,0.68449,0.71035,0.45454,1.51896,1.99961,2.01062,1.86183,0,0.00046535,0.00046535,0.00046535
37,3112.4,1.51651,2.75868,2.46984,2.06224,0,0.86275,0.7392,0.82305,0.57755,0.81535,0.69338,0.73547,0.47021,1.44824,1.94527,1.99628,1.80759,0,0.00046436,0.00046436,0.00046436
38,3195.95,1.51413,2.72989,2.49421,2.05835,0,0.82521,0.75222,0.81191,0.58882,0.82516,0.67396,0.72464,0.46865,1.42009,2.0121,2.04381,1.74553,0,0.00046337,0.00046337,0.00046337
39,3279.57,1.49444,2.7475,2.48461,2.04652,0,0.84129,0.75651,0.80917,0.57666,0.78714,0.70636,0.71494,0.46177,1.45385,1.98308,1.99256,1.75512,0,0.00046238,0.00046238,0.00046238
40,3362.65,1.48143,2.72362,2.41092,2.0552,0,0.84665,0.74073,0.82391,0.59071,0.83737,0.6743,0.73735,0.47402,1.41367,1.95465,1.93997,1.77802,0,0.00046139,0.00046139,0.00046139
41,3445.66,1.45619,2.74591,2.40438,2.03096,0,0.85494,0.74153,0.82535,0.57708,0.81937,0.67237,0.71765,0.45799,1.44831,1.97351,1.9645,1.82122,0,0.0004604,0.0004604,0.0004604
42,3528.46,1.46864,2.65503,2.42187,2.027,0,0.81623,0.75039,0.82615,0.59057,0.78245,0.69694,0.74749,0.47051,1.42305,2.04468,2.01862,1.79929,0,0.00045941,0.00045941,0.00045941
43,3612.06,1.4609,2.68757,2.41965,2.01713,0,0.86318,0.73743,0.81427,0.58979,0.81974,0.69639,0.72787,0.47365,1.38931,2.00875,1.91148,1.74987,0,0.00045842,0.00045842,0.00045842
44,3696.03,1.41302,2.57426,2.26488,1.98278,0,0.88336,0.72963,0.81562,0.58211,0.83612,0.68575,0.73509,0.48339,1.41427,1.95878,1.92897,1.78401,0,0.00045743,0.00045743,0.00045743
45,3779.63,1.41851,2.59307,2.29371,1.97471,0,0.84952,0.74174,0.81716,0.59172,0.83221,0.70725,0.7545,0.47932,1.37603,1.9817,1.85551,1.72994,0,0.00045644,0.00045644,0.00045644
46,3862.77,1.40455,2.66095,2.33128,1.97538,0,0.89075,0.74593,0.83968,0.61014,0.83894,0.70063,0.75601,0.47646,1.32924,1.95268,1.79762,1.69829,0,0.00045545,0.00045545,0.00045545
47,3948.43,1.43564,2.67195,2.38041,2.02054,0,0.87583,0.74871,0.83564,0.59289,0.81397,0.69452,0.7417,0.47997,1.36324,1.92764,1.87056,1.71778,0,0.00045446,0.00045446,0.00045446
48,4033.6,1.44193,2.65977,2.30922,2.0055,0,0.88711,0.71957,0.82431,0.58613,0.85545,0.68494,0.75471,0.4797,1.39613,1.97508,1.85487,1.78061,0,0.00045347,0.00045347,0.00045347
49,4117.58,1.40286,2.56811,2.26345,1.99155,0,0.88562,0.74314,0.83701,0.60435,0.84095,0.69862,0.75658,0.48114,1.34143,1.95353,1.7507,1.72851,0,0.00045248,0.00045248,0.00045248
50,4201.92,1.41766,2.54607,2.28818,1.97907,0,0.88351,0.74243,0.83691,0.61487,0.83015,0.69636,0.75544,0.49158,1.31236,1.93364,1.77182,1.69819,0,0.00045149,0.00045149,0.00045149
51,4285.83,1.38063,2.57611,2.22407,1.96698,0,0.88529,0.76078,0.84618,0.61489,0.82395,0.70924,0.74422,0.48004,1.31393,1.95722,1.71271,1.68344,0,0.0004505,0.0004505,0.0004505
52,4369.4,1.41166,2.59379,2.25446,1.97117,0,0.86812,0.74968,0.83215,0.61482,0.87025,0.678,0.75791,0.49956,1.28774,1.91537,1.80077,1.68436,0,0.00044951,0.00044951,0.00044951
53,4453.61,1.38446,2.54923,2.19724,1.96953,0,0.86543,0.75941,0.83718,0.61846,0.82721,0.71665,0.75783,0.49375,1.31664,1.87107,1.79935,1.70483,0,0.00044852,0.00044852,0.00044852
54,4537.04,1.35622,2.49716,2.18368,1.94737,0,0.85617,0.73602,0.81974,0.60369,0.81933,0.6942,0.7426,0.48678,1.32102,1.88069,1.85051,1.6793,0,0.00044753,0.00044753,0.00044753
55,4620.55,1.36424,2.55151,2.16326,1.95214,0,0.86078,0.77837,0.84378,0.61951,0.86665,0.71897,0.77847,0.49421,1.29773,1.85599,1.69635,1.65647,0,0.00044654,0.00044654,0.00044654
