epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.2814,0.98259,3.06549,0.02226,0.45645,0.53002,0.4413,0.23461,1.76832,1.74857,0.0778,0.000654762,0.000654762,0.000654762
2,95.5744,1.21435,1.28885,0.02884,0.43946,0.56557,0.40132,0.16664,1.94318,1.40688,0.08045,0.00128872,0.00128872,0.00128872
3,135.393,1.25251,1.17842,0.02984,0.47176,0.6076,0.44362,0.17028,2.33605,1.4423,0.09628,0.00188968,0.00188968,0.00188968
4,176.305,1.26002,1.08339,0.02904,0.60481,0.62295,0.56513,0.28339,1.4499,1.45981,0.06376,0.0018515,0.0018515,0.0018515
5,216.229,1.24111,1.07008,0.02942,0.74155,0.75259,0.75889,0.38503,1.40017,1.05849,0.05515,0.001802,0.001802,0.001802
6,256.802,1.18926,1.03019,0.02722,0.67515,0.7155,0.70037,0.40367,1.3023,1.17146,0.05293,0.0017525,0.0017525,0.0017525
7,296.993,1.09403,0.95878,0.02486,0.7887,0.78689,0.84042,0.54447,1.28559,0.81485,0.055,0.001703,0.001703,0.001703
8,337.448,1.05962,0.93683,0.02366,0.82761,0.84426,0.87369,0.60369,0.92786,0.60525,0.03435,0.0016535,0.0016535,0.0016535
9,377.743,1.04482,0.92426,0.02382,0.70142,0.84726,0.79735,0.58023,0.88625,0.77262,0.03386,0.001604,0.001604,0.001604
10,417.735,1.01353,0.9079,0.02293,0.6889,0.7459,0.73601,0.46214,1.27679,1.05552,0.05492,0.0015545,0.0015545,0.0015545
11,457.853,0.99585,0.86954,0.0222,0.6527,0.81148,0.76189,0.4629,1.27828,0.96465,0.05554,0.001505,0.001505,0.001505
12,497.816,1.02,0.8647,0.02332,0.88306,0.81148,0.87888,0.57341,1.16748,0.76753,0.04565,0.0014555,0.0014555,0.0014555
13,537.99,0.96841,0.84161,0.02127,0.84383,0.80328,0.87517,0.61765,0.76351,0.62951,0.0279,0.001406,0.001406,0.001406
14,578.261,0.9382,0.80579,0.01992,0.79912,0.7541,0.83422,0.60547,0.78357,0.80815,0.03015,0.0013565,0.0013565,0.0013565
15,618.425,0.93748,0.79445,0.02038,0.91529,0.84426,0.90929,0.64071,0.94441,0.5765,0.03776,0.001307,0.001307,0.001307
16,658.781,0.96508,0.80362,0.02109,0.97104,0.82462,0.9417,0.68205,0.89132,0.52463,0.03554,0.0012575,0.0012575,0.0012575
17,698.807,0.89972,0.74911,0.01977,0.86443,0.81967,0.89484,0.69126,0.77261,0.60236,0.02945,0.001208,0.001208,0.001208
18,739.198,0.9028,0.81447,0.01901,0.90143,0.81967,0.90033,0.67181,0.85077,0.70423,0.03175,0.0011585,0.0011585,0.0011585
19,779.308,0.88237,0.77677,0.01868,0.9537,0.84414,0.93936,0.74659,0.6751,0.49374,0.02535,0.001109,0.001109,0.001109
20,819.359,0.87067,0.73504,0.01818,0.94216,0.85246,0.93107,0.69495,0.78821,0.47164,0.03042,0.0010595,0.0010595,0.0010595
21,859.514,0.85979,0.70416,0.01882,0.9532,0.83467,0.9197,0.71298,0.74298,0.49804,0.02916,0.00101,0.00101,0.00101
22,899.729,0.84511,0.73969,0.01805,0.92977,0.86809,0.93929,0.70834,0.84425,0.42229,0.03173,0.0009605,0.0009605,0.0009605
23,939.749,0.80693,0.70622,0.01665,0.96324,0.85916,0.93042,0.70766,0.69794,0.46647,0.02636,0.000911,0.000911,0.000911
24,979.957,0.77843,0.676,0.01603,0.94884,0.84426,0.94382,0.75083,0.66477,0.54478,0.02511,0.0008615,0.0008615,0.0008615
25,1020.43,0.78099,0.68287,0.01606,0.97171,0.84426,0.9435,0.75398,0.68914,0.40537,0.02626,0.000812,0.000812,0.000812
